1,"Title: Gastritis - Symptoms and causes

URL Source: https://www.mayoclinic.org/diseases-conditions/gastritis/symptoms-causes/syc-20355807

Markdown Content:
Gastritis - Symptoms and causes - Mayo Clinic
=============== This content does not have an English version. This content does not have an Arabic version. [Skip to content](https://www.mayoclinic.org/diseases-conditions/gastritis/symptoms-causes/syc-20355807#main-content) [![Image 1: Mayo Clinic Home Page](https://assets.mayoclinic.org/content/dam/mayoclinic/logos/mayo-clinic-logo.svg)](https://www.mayoclinic.org/)

*   Care at Mayo Clinic [Patient-Centered Care](https://www.mayoclinic.org/patient-centered-care)"
2,[About Mayo Clinic](https://www.mayoclinic.org/about-mayo-clinic) [Request Appointment](https://www.mayoclinic.org/appointments) [Find a Doctor](https://www.mayoclinic.org/appointments/find-a-doctor) [Locations](https://www.mayoclinic.org/locations)
3,[Clinical Trials](https://www.mayo.edu/research/clinical-trials) [Connect to Support Groups](https://connect.mayoclinic.org/) [Patient & Visitor Guide](https://www.mayoclinic.org/patient-visitor-guide) [Billing & Insurance](https://www.mayoclinic.org/billing-insurance)
4,[Departments & Centers](https://www.mayoclinic.org/departments-centers) [International Services](https://www.mayoclinic.org/departments-centers/international) [Contact Us](https://www.mayoclinic.org/about-mayo-clinic/contact) [Patient & Visitor Guide](https://www.mayoclinic.org/patient-visitor-guide) !
5,[Image 2](https://assets.mayoclinic.org/content/dam/media/global/images/2023/06/26/pt-visitor-Getty-1419492732-415x275.jpg) *   Health Library [Diseases & Conditions](https://www.mayoclinic.org/diseases-conditions) [Symptoms](https://www.mayoclinic.org/symptoms) [Tests & Procedures](https://www.mayoclinic.org/tests-procedures) [Drugs & Supplements](https://www.mayoclinic.org/drugs-supplements)
6,[Healthy Lifestyle](https://www.mayoclinic.org/healthy-lifestyle) [Books & Subscriptions](https://mcpress.mayoclinic.org/?utm_source=MC-DotOrg-Nav&utm_medium=Link&utm_campaign=MC-Press&utm_content=MCPRESS) [Diseases & Conditions](https://www.mayoclinic.org/diseases-conditions) ! [Image 3](https://assets.mayoclinic.org/content/dam/media/global/images/2023/06/26/disease-conditions-Getty-1334250777-415x275.jpg) *
7,For Medical Professionals [Medical Professional Resources](https://www.mayoclinic.org/medical-professionals) [Refer a Patient](https://www.mayoclinic.org/medical-professionals/provider-relations/refer-patient) [Continuing Medical Education](https://ce.mayo.edu/) [AskMayoExpert](https://askmayoexpert.mayoclinic.org/)
8,[Mayo Clinic Laboratories](https://www.mayocliniclabs.com/) [Video Center](https://medprofvideos.mayoclinic.org/) [Journals & Publications](https://www.mayoclinic.org/medical-professionals/publications) [Mayo Clinic Alumni Association](https://alumniassociation.mayo.edu/)
9,[Continuing Medical Education](https://ce.mayo.edu/) ! [Image 4](https://assets.mayoclinic.org/content/dam/media/global/images/2023/06/26/cont-ed-1676659-3734290-0048-C-415x275.jpg) *   Research & Education at Mayo Clinic Research -------- [Research at Mayo Clinic](https://www.mayo.edu/research) [Research Faculty](https://www.mayo.edu/research/faculty)
10,[Laboratories](https://www.mayo.edu/research/labs) [Core Facilities](https://www.mayo.edu/research/core-facilities/overview) [Centers & Programs](https://www.mayo.edu/research/centers-programs) [Departments & Divisions](https://www.mayo.edu/research/departments-divisions)
